kernel,shape,dtype,kernel_ms,gb_s,gb,tflops
rmsnorm_fwd,"(128, 512)",torch.float32,0.001943060000000005,270.8799522402801,0.000526336,
rmsnorm_fwd,"(128, 512)",torch.bfloat16,0.002005749999999996,131.20678050604536,0.000263168,
rmsnorm_fwd,"(128, 512)",torch.float16,0.002005759999999975,131.20612635609606,0.000263168,
rmsnorm_fwd,"(256, 512)",torch.float32,0.0019625799999999846,535.3279866298485,0.001050624,
rmsnorm_fwd,"(256, 512)",torch.bfloat16,0.002006389999999974,261.81948673986955,0.000525312,
rmsnorm_fwd,"(256, 512)",torch.float16,0.002008660000000025,261.5236027998733,0.000525312,
rmsnorm_fwd,"(64, 1024)",torch.float32,0.0020797399999999853,254.06252704665187,0.000528384,
rmsnorm_fwd,"(64, 1024)",torch.bfloat16,0.002057589999999984,128.39875777001348,0.000264192,
rmsnorm_fwd,"(64, 1024)",torch.float16,0.002051840000000027,128.75857766687292,0.000264192,
rmsnorm_fwd,"(128, 1024)",torch.float32,0.002111349999999998,498.577687261705,0.001052672,
rmsnorm_fwd,"(128, 1024)",torch.bfloat16,0.0020834699999999914,252.62470781916812,0.000526336,
rmsnorm_fwd,"(128, 1024)",torch.float16,0.0020800500000000117,253.04007115213435,0.000526336,
rmsnorm_fwd,"(512, 512)",torch.float32,0.002078090000000009,1010.1583665769965,0.0020992,
rmsnorm_fwd,"(512, 512)",torch.bfloat16,0.0020076700000000026,522.7950808648824,0.0010496,
rmsnorm_fwd,"(512, 512)",torch.float16,0.0020105700000000097,522.0410132449977,0.0010496,
rmsnorm_fwd,"(1024, 512)",torch.float32,0.002351960000000012,1784.1936087348338,0.004196352,
rmsnorm_fwd,"(1024, 512)",torch.bfloat16,0.002020479999999994,1038.454228698134,0.002098176,
rmsnorm_fwd,"(1024, 512)",torch.float16,0.0020202300000000005,1038.5827356291113,0.002098176,
rmsnorm_fwd,"(1024, 1024)",torch.float32,0.0033050199999999923,2539.3806996629432,0.008392704,
rmsnorm_fwd,"(1024, 1024)",torch.bfloat16,0.0026013199999999977,1613.162548244739,0.004196352,
rmsnorm_fwd,"(1024, 1024)",torch.float16,0.0025280099999999872,1659.9428008591824,0.004196352,
rmsnorm_fwd,"(1024, 2048)",torch.float32,0.005271020000000008,3184.4705578806334,0.016785408,
rmsnorm_fwd,"(1024, 2048)",torch.bfloat16,0.0037545399999999608,2235.3481385203218,0.008392704,
rmsnorm_fwd,"(1024, 2048)",torch.float16,0.0035855500000000077,2340.70198435386,0.008392704,
rmsnorm_fwd,"(2048, 1024)",torch.float32,0.004753540000000003,3530.2768042343155,0.016781312,
rmsnorm_fwd,"(2048, 1024)",torch.bfloat16,0.0034739400000000165,2415.314023846111,0.008390656,
rmsnorm_fwd,"(2048, 1024)",torch.float16,0.003432650000000015,2444.3668885554785,0.008390656,
rmsnorm_fwd,"(2048, 2048)",torch.float32,0.007816980000000006,4293.553776522387,0.033562624,
rmsnorm_fwd,"(2048, 2048)",torch.bfloat16,0.004995850000000001,3359.0504118418276,0.016781312,
rmsnorm_fwd,"(2048, 2048)",torch.float16,0.004900220000000019,3424.603793299063,0.016781312,
rmsnorm_fwd,"(4096, 2048)",torch.float32,0.024251329999999967,2767.5618615556377,0.067117056,
rmsnorm_fwd,"(4096, 2048)",torch.bfloat16,0.007817520000000001,4292.733245325882,0.033558528,
rmsnorm_fwd,"(4096, 2048)",torch.float16,0.007705030000000013,4355.405235281361,0.033558528,
rmsnorm_fwd,"(4096, 4096)",torch.float32,0.04965835000000001,2703.152883654007,0.134234112,
rmsnorm_fwd,"(4096, 4096)",torch.bfloat16,0.026048580000000016,2576.6109323425676,0.067117056,
rmsnorm_fwd,"(4096, 4096)",torch.float16,0.02592928999999999,2588.4648596240013,0.067117056,
rmsnorm_fwd,"(8192, 1024)",torch.float32,0.023936399999999986,2803.8034123761317,0.06711296,
rmsnorm_fwd,"(8192, 1024)",torch.bfloat16,0.007859809999999995,4269.375468363742,0.03355648,
rmsnorm_fwd,"(8192, 1024)",torch.float16,0.007418510000000005,4523.344984370174,0.03355648,
rmsnorm_fwd,"(8192, 2048)",torch.float32,0.049332099999999976,2720.863697268109,0.13422592,
rmsnorm_fwd,"(8192, 2048)",torch.bfloat16,0.02564576000000001,2616.9222514754865,0.06711296,
rmsnorm_fwd,"(8192, 2048)",torch.float16,0.02543420000000001,2638.689638360946,0.06711296,
rmsnorm_fwd,"(8192, 4096)",torch.float32,0.09657213999999996,2779.806267107678,0.26845184,
rmsnorm_fwd,"(8192, 4096)",torch.bfloat16,0.05160446999999997,2601.0521956721977,0.13422592,
rmsnorm_fwd,"(8192, 4096)",torch.float16,0.05145783000000003,2608.464445546964,0.13422592,
rmsnorm_fwd,"(16384, 2048)",torch.float32,0.09579097000000002,2802.3899121180207,0.268443648,
rmsnorm_fwd,"(16384, 2048)",torch.bfloat16,0.05150449999999999,2606.021299109787,0.134221824,
rmsnorm_fwd,"(16384, 2048)",torch.float16,0.05121141999999998,2620.9354085475475,0.134221824,
rmsnorm_fwd,"(32768, 2048)",torch.float32,0.18722196999999993,2867.6073860348774,0.536879104,
rmsnorm_fwd,"(32768, 2048)",torch.bfloat16,0.09839847,2728.0866460626876,0.268439552,
rmsnorm_fwd,"(32768, 2048)",torch.float16,0.09808841000000004,2736.710198483184,0.268439552,
rmsnorm_fwd,"(4096, 7168)",torch.float32,0.08888794000000001,2642.762291487461,0.234909696,
rmsnorm_fwd,"(4096, 7168)",torch.bfloat16,0.08866323999999995,1324.729933171854,0.117454848,
rmsnorm_fwd,"(4096, 7168)",torch.float16,0.08860502999999996,1325.6002283391817,0.117454848,
rmsnorm_fwd,"(8192, 7168)",torch.float32,0.17001553999999997,2763.222232508864,0.46979072,
rmsnorm_fwd,"(8192, 7168)",torch.bfloat16,0.17217217999999998,1364.3049649484603,0.23489536,
rmsnorm_fwd,"(8192, 7168)",torch.float16,0.17206864000000013,1365.1259171921147,0.23489536,
rmsnorm_fwd,"(16384, 4096)",torch.float32,0.18922113,2837.3538198403107,0.536887296,
rmsnorm_fwd,"(16384, 4096)",torch.bfloat16,0.10079903999999999,2663.156791969447,0.268443648,
rmsnorm_fwd,"(16384, 4096)",torch.float16,0.10040278000000001,2673.6674821155348,0.268443648,
rmsnorm_fwd,"(16384, 7168)",torch.float32,0.3330697700000001,2820.8887525277355,0.939552768,
rmsnorm_fwd,"(16384, 7168)",torch.bfloat16,0.3358255199999999,1398.8704134218274,0.469776384,
